@relation tyrex


@attribute	text_length	numeric
@attribute	digit_frequency	numeric
@attribute	phrases_per_paragraph	numeric
@attribute	punctuation_frequency	numeric
@attribute	sentence_length_avg	numeric
@attribute	sentence_length_max	numeric
@attribute	sentence_length_min	numeric
@attribute	class	{ epic, poetry, drama, report }


@DATA
175, 0.0, 0.5, 0.024529844644317254, 15.0, 22, 3, poetry
2070, 0.0010554089709762533, 2.039772727272727, 0.03716000510790448, 6.275766016713092, 46, 1, drama
2496, 0.013857845328565042, 0.5929824561403508, 0.01897560975609756, 14.23076923076923, 45, 1, report
134, 0.0, 0.7272727272727273, 0.032766990291262135, 16.375, 32, 4, poetry
5708, 0.0, 1.8102189781021898, 0.03363710100672742, 6.201612903225806, 59, 1, drama
3690, 0.0, 0.7054794520547946, 0.02389705882352941, 17.49514563106796, 81, 1, epic
1416, 0.0, 1.6044776119402986, 0.033136834583779924, 6.962790697674419, 35, 1, drama
845, 0.07470511140235911, 0.8225806451612904, 0.024622960911049555, 8.470588235294118, 31, 1, report
1171, 0.021616541353383457, 0.6377952755905512, 0.01997488871133432, 14.123456790123457, 37, 1, report
209, 0.0, 0.30303030303030304, 0.012957317073170731, 21.2, 27, 1, poetry
622, 0.0, 0.2391304347826087, 0.03127139922392148, 18.87878787878788, 49, 4, drama
965, 0.0, 0.5679012345679012, 0.02260596546310832, 20.217391304347824, 50, 3, epic
574, 0.0, 0.9692307692307692, 0.03471231573941987, 9.079365079365079, 108, 1, drama
816, 0.0, 0.5153846153846153, 0.027836879432624112, 12.522388059701493, 59, 1, drama
916, 0.018115942028985508, 0.5963302752293578, 0.016142050040355124, 13.723076923076922, 45, 1, report
54, 0.02, 1.0, 0.024930747922437674, 10.8, 26, 4, epic
1386, 0.0015723270440251573, 2.3391304347826085, 0.042429362620857974, 5.724907063197026, 48, 1, drama
52, 0.0, 1.4, 0.036312849162011177, 7.714285714285714, 11, 4, poetry
1384, 0.01910828025477707, 0.8243243243243243, 0.020942408376963352, 11.28688524590164, 42, 1, report
110, 0.0, 0.875, 0.036923076923076927, 15.571428571428571, 22, 5, poetry
3794, 0.0, 0.616822429906542, 0.025220061412487206, 18.54040404040404, 87, 1, epic
97, 0.09090909090909091, 0.9285714285714286, 0.013612565445026177, 4.346153846153846, 21, 1, report
155, 0.006944444444444444, 1.5, 0.03463992707383774, 8.944444444444445, 18, 2, poetry
96, 0.0, 0.8571428571428571, 0.03374777975133215, 15.833333333333334, 41, 5, poetry
3361, 0.0003240440699935191, 1.565217391304348, 0.033092684555356175, 8.141203703703704, 73, 1, drama
85, 0.0, 0.625, 0.027303754266211604, 16.4, 22, 13, poetry
100, 0.0, 1.0, 0.030973451327433628, 11.11111111111111, 18, 2, poetry
1465, 0.01424287856071964, 0.8120805369127517, 0.018162103551097857, 12.016528925619834, 30, 1, report
2679, 0.0, 0.6396588486140725, 0.037449867180582325, 9.38, 52, 1, drama
1350, 0.00975609756097561, 0.475177304964539, 0.018979122964738786, 19.34328358208955, 112, 1, report
613, 0.0, 0.3533834586466165, 0.021892655367231638, 13.319148936170214, 34, 1, poetry
2342, 0.0009328358208955224, 1.7839195979899498, 0.03812580953989976, 7.0366197183098596, 39, 1, drama
370, 0.014970059880239521, 0.5135135135135135, 0.022564874012786763, 18.526315789473685, 38, 1, epic
859, 0.0, 0.8211382113821138, 0.029397590361445784, 8.900990099009901, 32, 1, drama
89, 0.036585365853658534, 2.125, 0.036337209302325583, 5.764705882352941, 16, 1, epic
126, 0.0, 0.7272727272727273, 0.033734939759036145, 15.375, 49, 2, poetry
929, 0.0011402508551881414, 0.3352601156069364, 0.028739184177997527, 16.103448275862068, 49, 2, drama
104, 0.0, 0.25, 0.027331189710610933, 49.0, 79, 19, poetry
1861, 0.0005868544600938967, 1.1012658227848102, 0.02938050409960522, 10.78735632183908, 47, 1, drama
66, 0.0, 0.8571428571428571, 0.033582089552238806, 10.833333333333334, 20, 1, poetry
73, 0.0, 0.8571428571428571, 0.023715415019762844, 12.0, 17, 1, epic
58, 0.018518518518518517, 1.2, 0.028720626631853787, 9.833333333333334, 17, 4, epic
281, 0.0, 0.75, 0.028810895756940808, 15.277777777777779, 40, 5, poetry
455, 0.026252983293556086, 0.8421052631578947, 0.025525946704067323, 9.708333333333334, 43, 1, report
196, 0.0, 2.0625, 0.03707802988378528, 3.515151515151515, 9, 1, drama
48, 0.0, 0.75, 0.038461538461538464, 15.666666666666666, 23, 6, poetry
288, 0.0, 1.434782608695652, 0.03934987168520103, 4.9393939393939394, 27, 1, drama
174, 0.0, 0.8, 0.029991431019708654, 14.25, 45, 3, poetry
104, 0.0, 0.625, 0.02511773940345369, 20.2, 31, 12, poetry
75, 0.0, 1.25, 0.03140495867768595, 7.7, 18, 1, epic
2040, 0.0005344735435595938, 0.37058823529411766, 0.03012912482065997, 30.682539682539684, 128, 1, epic
842, 0.011764705882352941, 0.7623762376237624, 0.01879532336835874, 10.922077922077921, 44, 1, report
3155, 0.0, 0.7313432835820896, 0.025302061122956646, 15.729591836734693, 112, 1, epic
601, 0.025362318840579712, 0.890625, 0.0189247311827957, 10.666666666666666, 30, 1, report
123, 0.008771929824561403, 0.9, 0.023255813953488372, 13.555555555555555, 28, 3, epic
90, 0.0, 1.3333333333333333, 0.03477051460361613, 5.0, 28, 1, drama
1476, 0.08622016936104696, 0.7654723127035831, 0.017481915260075784, 6.523404255319149, 46, 1, report
132, 0.02459016393442623, 1.6363636363636365, 0.030467899891186073, 7.722222222222222, 23, 1, epic
44, 0.024390243902439025, 1.0, 0.01644736842105263, 11.0, 29, 2, poetry
64, 0.0, 1.0, 0.03058823529411765, 12.8, 25, 1, poetry
150, 0.0, 0.7272727272727273, 0.030033370411568408, 18.375, 38, 9, poetry
1955, 0.0005567928730512249, 1.5, 0.034237115650214436, 8.479166666666666, 48, 1, drama
2133, 0.05555555555555555, 0.7640750670241286, 0.017566535456201165, 7.628070175438596, 30, 1, report
6373, 0.00034106412005457026, 0.7411764705882353, 0.025444786800516848, 16.51058201058201, 65, 1, epic
62, 0.0, 0.3333333333333333, 0.027707808564231738, 29.0, 40, 18, poetry
1091, 0.0, 0.5970873786407767, 0.035948569929152456, 9.211382113821138, 66, 1, drama
110, 0.0, 0.8888888888888888, 0.0329512893982808, 13.625, 31, 2, poetry
239, 0.0, 0.65, 0.022670025188916875, 17.846153846153847, 37, 5, poetry
